regime,entry_lookback,exit_lookback,position_size_pct,don_final_eq,don_return_pct,don_apr_pct,don_dd_pct,don_sharpe,don_trades,trend_fast_apr_pct,trend_slow_apr_pct,best_trend_apr_pct,bh_apr_pct,don_vs_best_trend_pp,don_vs_bh_pp,runtime_s
bull,28,10,1.0,20018.868348355394,100.18868348355392,265.01484306659574,29.478035232273736,2.2049586264776617,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2216.80354267985,-2318.1282289378782,0.014
bull,28,12,0.25,14418.403467441418,44.184034674414185,97.9004847785447,15.822802388647931,2.5330792680019583,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2383.9179009679015,-2485.2425872259296,0.014
bull,28,12,0.5,18767.350354608538,87.67350354608539,223.60158146844088,22.603996062179597,2.773525820527521,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2258.216804278005,-2359.541490536033,0.014
bull,28,12,1.0,27247.355731889937,172.47355731889934,548.7264850118581,29.478035232273726,2.993855755925626,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-1933.0919007345879,-2034.416586992616,0.014
bull,28,20,0.25,15696.18753695851,56.9618753695851,131.86642379225617,15.822802388647931,2.888835984234504,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2349.9519619541898,-2451.276648212218,0.015
bull,28,20,0.5,22155.62958911521,121.5562958911521,341.0339637496202,22.603996062179597,3.2032397712229246,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2140.7844219968256,-2242.1091082548537,0.015
bull,28,20,1.0,37364.2772390232,273.642772390232,1069.1506151771177,30.21019888039614,3.531831808817608,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-1412.6677705693282,-1513.9924568273564,0.015
bull,55,10,0.25,11822.75667629953,18.227566762995306,36.662959899128,11.283501887388338,1.5793670355109894,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2445.155425847318,-2546.480112105346,0.017
bull,55,10,0.5,13722.15299071022,37.221529907102195,80.44708312412419,18.96994051590259,1.7054207542426718,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2401.3713026223218,-2502.69598888035,0.017
bull,55,10,1.0,17688.61528469021,76.88615284690212,189.76930991906733,29.47803523227369,1.8872121961319581,11,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2292.0490758273786,-2393.3737620854067,0.017
bull,55,12,0.25,13606.713578063396,36.06713578063396,77.62562685128613,14.9372926820185,2.279768156478668,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2404.19275889516,-2505.517445153188,0.018
bull,55,12,0.5,17156.19543284218,71.5619543284218,173.71145826955527,21.983416890499953,2.4863879917340643,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2308.1069274768906,-2409.4316137349188,0.017
bull,55,12,1.0,24075.686231589338,140.7568623158934,414.9955665058025,29.47803523227372,2.688947563506034,7,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2066.8228192406436,-2168.1475054986718,0.017
bull,55,20,0.25,14816.852498599286,48.16852498599287,108.22416552093186,14.9372926820185,2.676160771170647,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2373.594220225514,-2474.9189064835423,0.018
bull,55,20,0.5,20258.298227536143,102.58298227536145,273.20073435585994,21.983416890499953,2.952050599580646,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-2208.617651390586,-2309.9423376486143,0.018
bull,55,20,1.0,33014.96937642255,230.1496937642255,828.1375083410404,30.210198880396145,3.2583086519785738,3,1007.20891426729,2481.818385746446,2481.818385746446,2583.143072004474,-1653.6808774054057,-1755.0055636634338,0.018
bear,20,10,0.25,8643.794725977456,-13.56205274022545,-13.160131470583414,14.452612241385093,-1.666220111103264,16,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,36.653546415150736,62.1895502068104,0.026
bear,20,10,0.5,7444.396592729901,-25.556034072700985,-24.853423622917646,27.100425578509967,-1.6490634226205612,16,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,24.960254262816505,50.49625805447617,0.025
bear,20,10,1.0,6556.560089074974,-34.43439910925026,-33.547505070115825,37.414739706559544,-1.2149031462342106,12,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,16.266172815618326,41.80217660727799,0.026
bear,20,12,0.25,8643.794725977456,-13.56205274022545,-13.160131470583414,14.452612241385093,-1.666220111103264,16,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,36.653546415150736,62.1895502068104,0.025
bear,20,12,0.5,7444.396592729901,-25.556034072700985,-24.853423622917646,27.100425578509967,-1.6490634226205612,16,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,24.960254262816505,50.49625805447617,0.027
bear,20,12,1.0,6556.560089074974,-34.43439910925026,-33.547505070115825,37.414739706559544,-1.2149031462342106,12,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,16.266172815618326,41.80217660727799,0.026
bear,20,20,0.25,8392.4836993905,-16.075163006095007,-15.605704969553813,16.939830242390848,-1.6489853482308094,14,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,34.20797291618034,59.743976707840005,0.028
bear,20,20,0.5,7006.194714415849,-29.9380528558415,-29.140098985954644,31.391536354498,-1.6169841043310724,14,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,20.673578899779507,46.209582691439174,0.028
bear,20,20,1.0,6775.248726235809,-32.24751273764191,-31.402714065178372,39.02857878669165,-0.8601276121286582,8,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,18.41096382055578,43.946967612215445,0.026
bear,28,10,0.25,9032.94830912495,-9.670516908750503,-9.377616250842113,10.60117042323057,-1.5327575885331628,10,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,40.43606163489204,65.97206542655171,0.026
bear,28,10,0.5,8140.067224378934,-18.59932775621066,-18.064383859704712,20.28804094087924,-1.5223703906350512,10,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,31.74929402602944,57.285297817689106,0.026
bear,28,10,1.0,6560.203654506869,-34.397963454931315,-33.51175231681037,37.162134793835975,-1.5017268992442194,10,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,16.301925568923778,41.837929360583445,0.027
bear,28,12,0.25,9032.94830912495,-9.670516908750503,-9.377616250842113,10.60117042323057,-1.5327575885331628,10,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,40.43606163489204,65.97206542655171,0.028
bear,28,12,0.5,8140.067224378934,-18.59932775621066,-18.064383859704712,20.28804094087924,-1.5223703906350512,10,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,31.74929402602944,57.285297817689106,0.027
bear,28,12,1.0,6560.203654506869,-34.397963454931315,-33.51175231681037,37.162134793835975,-1.5017268992442194,10,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,16.301925568923778,41.837929360583445,0.027
