regime,lookback_days,entry_z,exit_z,arb_final_eq,arb_return_pct,arb_apr_pct,arb_dd_pct,arb_sharpe,arb_trades,arb_opens,arb_halts,arb_halt_reason,arb_pct_in_pos,arb_funding,arb_convergence_pnl,funding_return_pct,funding_smart_return_pct,bh_return_pct,arb_vs_funding_pp,arb_vs_funding_smart_pp,arb_vs_bh_pp,runtime_s
covid_2020,30,1.5,0.5,9991.042788896648,-0.08957211103352014,-0.5447898823964015,0.08958211103354187,-13.80490104751474,37,19,0,,3.1315240083507305,0.0,0.4060569549565569,-3.09087732097707,0.09694467080905156,2.834354083781876,3.097030627224129,-0.18633613888612288,-2.843335985203155,0.005
covid_2020,30,2.0,0.0,9996.61784160598,-0.033821583940207844,-0.2059999078971475,0.033821583940207345,-7.925452873800063,16,8,0,,2.4356297842727903,0.0,0.5791685000001054,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1545592948584167,-0.13063960661267027,-2.7891220723624155,0.005
covid_2020,30,2.0,0.5,9996.359473288177,-0.03640526711822245,-0.22172196380799702,0.03640526711822531,-9.174258861836885,16,8,0,,1.3917884481558804,0.0,0.32316850000011066,-3.09087732097707,0.09694467080905156,2.834354083781876,3.1518932061491256,-0.13322078747339816,-2.7916345432200784,0.005
luna_2021,7,1.0,0.0,10023.88044191525,0.23880441915249406,9.096181158212913,0.10821547889772773,4.190543054611005,8,4,1,dislocation_guard,5.833333333333333,0.05935312150594675,36.22456158485137,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.42265919162156607,0.15667208535969923,27.772626776080678,0.001
luna_2021,7,1.0,0.5,9988.102462434581,-0.11897537565419558,-4.252135950449243,0.11897537565419042,-12.227624268790661,8,4,0,,4.166666666666666,0.02691193819096079,0.677934613154136,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.06422316868897049,-0.20081455661358216,27.316571215015717,0.001
luna_2021,7,1.5,0.0,9996.096311175732,-0.03903688824268281,-1.4150177690790744,0.03903688824268101,-5.655309456138907,2,1,0,,2.083333333333333,0.0,0.7150613055932276,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.14430827668818758,-0.12094156813304835,27.418467387623345,0.001
luna_2021,7,1.5,0.5,9996.096311175732,-0.03903688824268281,-1.4150177690790744,0.03903688824268101,-5.655309456138907,2,1,0,,2.083333333333333,0.0,0.7150613055932276,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.14430827668818758,-0.12094156813304835,27.418467387623345,0.001
luna_2021,7,2.0,0.0,9997.22882682908,-0.02771173170920127,-1.0065187344014404,0.027711731709205194,-5.655525602139382,2,1,0,,2.083333333333333,0.0,0.5076118499263949,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.1556542054574228,-0.10962569105518183,27.43290336386346,0.001
luna_2021,7,2.0,0.5,9997.22882682908,-0.02771173170920127,-1.0065187344014404,0.027711731709205194,-5.655525602139382,2,1,0,,2.083333333333333,0.0,0.5076118499263949,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.1556542054574228,-0.10962569105518183,27.43290336386346,0.001
luna_2021,14,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,-0.1830809639468467,0.08200385664052234,-21.549077491519952,0.1834167651284968,-0.08193666541487232,27.468227016948887,0.001
