regime,rsi_threshold,dip_multiplier,max_dip_buys_per_week,base_size_pct,smart_final_eq,smart_return_pct,smart_apr_pct,smart_dd_pct,smart_sharpe,smart_trades,smart_2x_buys,smart_weeks_sat,smart_cost_basis,smart_btc,smart_cash_left,dca_final_eq,dca_cost_basis,dca_btc,bh_final_eq,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct,runtime_s
bull,40,3.0,3,0.015,45953.76206599472,359.53762065994715,1619.908073618904,28.768713756626894,3.878668448634003,65,1,0,13692.405464352918,0.7298936644856581,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-14.915812299594144,-21.2113603553017,-17.530651349831185,0.006
bull,40,3.0,5,0.005,27439.60463269148,174.39604632691479,557.2909579079047,23.99204014206213,3.297609517629285,178,11,0,22930.99886979974,0.43582924829158476,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-49.1950959827839,-52.95425174780354,-96.83139243037105,0.006
bull,40,3.0,5,0.01,39787.632048751446,297.8763204875145,1214.5603054920575,28.768713756626894,3.650690465301896,98,1,0,15814.400365646918,0.6319556713455683,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.33250900048213,-31.783312989631064,-35.74508734206031,0.006
bull,40,3.0,5,0.015,45953.76206599472,359.53762065994715,1619.908073618904,28.768713756626894,3.878668448634003,65,1,0,13692.405464352918,0.7298936644856581,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-14.915812299594144,-21.2113603553017,-17.530651349831185,0.006
bull,45,1.5,2,0.005,26704.611186974053,167.0461118697405,524.8293484933665,23.283659627875306,3.2859145494303412,194,12,5,23562.13084004455,0.4241551864661959,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.55594909866548,-54.214412638498,-102.24880076988374,0.006
bull,45,1.5,2,0.01,39446.830493349175,294.46830493349177,1193.6337987653892,28.76871375662691,3.6348889347264075,99,3,1,15951.02914354773,0.6265426456225003,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.963508992752505,-32.367624039080745,-36.917859306900226,0.006
bull,45,1.5,2,0.015,45556.69616131594,355.5669616131594,1592.2898753238326,28.768713756626884,3.8636092165057176,66,2,1,13811.746589171986,0.7235869797839333,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-15.650986710659842,-21.892137751372232,-18.55503235938592,0.006
bull,45,1.5,3,0.005,26877.143516873835,168.77143516873835,532.3808575769027,23.378402929232976,3.292311980671359,192,17,5,23410.87855653145,0.42689555523800504,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.236502496654964,-53.91860252510594,-100.95050592711677,0.006
bull,45,1.5,3,0.01,39660.50438060884,296.6050438060885,1206.735967994809,28.76871375662689,3.644671675816659,98,4,1,15865.091799680753,0.6299364747578142,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.567888083540147,-32.00127590678622,-36.180204259636575,0.006
bull,45,1.5,3,0.015,45751.19575948909,357.5119575948909,1605.7925152344617,28.76871375662689,3.8709538620538373,66,3,1,13753.029453650865,0.7266762594874691,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-15.290867330338987,-21.558664319327736,-18.051025725842962,0.006
bull,45,1.5,5,0.005,27084.132617988696,170.84132617988695,541.4959998235443,23.527828775959286,3.2984719197635815,189,23,2,23231.962112092424,0.43018320845134483,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-49.853258584961665,-53.563715591698866,-99.41475194240898,0.006
bull,45,1.5,5,0.01,39864.8647958796,298.648647958796,1219.324335835366,28.768713756626894,3.6539037084464945,98,5,0,15783.762118391416,0.6331823759783404,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.18951122929133,-31.650895907575595,-35.48209971979547,0.006
