fold_start,fold_end,smart_apr,smart_return,smart_dd,smart_sharpe,smart_trades,smart_2x_buys,smart_cb,dca_return,dca_cb,bh_return,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct
2021-09-30,2022-03-30,-30.986823498673377,-16.79911767809319,51.75124636311992,-0.31305013582967434,40,1,56978.16873694126,-15.128214248404293,55856.41765421288,11.99385750947155,-1.968738391553737,-25.70942355934981,-2.00827609402512
2021-11-30,2022-05-30,-64.55450099089083,-40.20957145747431,46.61022550865398,-1.3560716600575418,37,6,49256.07636187707,-40.97890600884681,49898.124803336264,-48.965939642381976,1.3034908358151132,17.157890482450245,1.2867185770802025
2022-01-30,2022-07-30,-65.30810831828798,-40.843364617853375,62.8754795346104,-1.2260460811130471,38,4,40163.68678934463,-40.82120937882509,40148.65038742203,-37.17155959906337,-0.0374378029624034,-5.8441766107173105,-0.0374518241024466
2022-03-30,2022-09-30,-77.11867805419173,-52.454623974130676,56.82638203312871,-1.86291759727193,38,5,41181.19727004936,-53.38390640285222,42002.13613608757,-58.55716358547248,1.9934798414305455,14.725197740574036,1.954516940229791
2022-05-30,2022-11-30,-49.82744486706342,-29.367895119628308,37.19521689785422,-0.9548495840904195,38,5,23265.1490562708,-33.04462130313808,24542.71008815932,-43.95877944074269,5.4913081742932635,26.035985968018238,5.2054603069482726
2022-07-30,2023-01-30,16.090057818650514,7.811178817622277,30.6732414884551,0.5530633229323775,38,4,22008.900079034778,4.386583708929104,22730.94278682706,-0.8015763516318608,3.2806851101117473,8.682350840356158,3.176474968784481
2022-09-30,2023-03-30,107.2858429859589,43.531661371070115,26.993707046422582,1.7569107718119132,39,3,19738.913748622184,45.15176456360328,19518.598981678613,44.95310055844486,-1.1161443316958564,-0.9806200639368989,-1.1287427296927022
2022-11-30,2023-05-30,170.98966662756789,63.92594037621493,21.740843715487806,2.448750239265558,39,2,16909.92779811562,63.23040359022853,16981.982247368163,64.55074737084551,0.42610737380301966,-0.3797047443500734,0.42429940276089395
2023-01-30,2023-07-30,61.62234016360686,26.87324236112851,19.453140578104104,1.347859407028725,38,5,23121.729778530327,25.985007251721726,23284.74546291628,23.509566623988533,0.7050323913797563,2.723413116151807,0.7000964843939271
2023-03-30,2023-09-30,-12.725180145491022,-6.631247024513653,20.83575244075415,-0.2392326840747403,40,0,28800.65864332588,-6.484861386982033,28755.575004041773,-5.074944661677816,-0.15653683425246312,-1.6395064056470843,-0.15678225623299683
2023-05-30,2023-11-30,82.16241565331576,35.3006138426718,20.835752440754153,1.9548179206765648,39,2,27961.38623583123,38.261642663950866,27362.561652729433,36.53028366032649,-2.141612644134372,-0.9006571909818795,-2.188481439354062
