regime,entry_lookback,atr_period,atr_K,position_size_pct,atr_final_eq,atr_return_pct,atr_apr_pct,atr_dd_pct,atr_sharpe,atr_trades,trend_fast_apr_pct,trend_slow_apr_pct,donchian_apr_pct,donchian_dd_pct,bh_apr_pct,best_cousin_apr_pct,atr_vs_best_cousin_pp,atr_vs_bh_pp,runtime_s
bull,20,10,1.5,1.0,23631.24371605861,136.3124371605861,397.40294783125705,24.97005106937335,3.096017845695323,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2084.4154379151887,-2185.740124173217,0.009
bull,20,10,2.0,0.5,17527.098782852216,75.27098782852215,184.85308868728202,15.169387500171572,3.3580928684410645,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2296.965297059164,-2398.2899833171923,0.009
bull,20,10,2.0,1.0,27565.19305682792,175.6519305682792,562.9139117203459,26.434892259508025,3.4803969115842577,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1918.9044740261002,-2020.2291602841283,0.009
bull,20,10,3.0,0.5,21162.80141252835,111.62801412528354,304.8832623927397,22.603996062179597,3.147559681399625,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2176.9351233537063,-2278.2598096117345,0.009
bull,20,10,3.0,1.0,34433.6102335255,244.336102335255,903.9141991518609,33.36571450810895,3.4579254361620175,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1577.904186594585,-1679.2288728526132,0.009
bull,20,14,1.5,0.5,16094.121736564233,60.94121736564233,142.95214571663587,14.372386801281456,2.982718291064128,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2338.86624002981,-2440.190926287838,0.009
bull,20,14,1.5,1.0,23631.24371605861,136.3124371605861,397.40294783125705,24.97005106937335,3.096017845695323,13,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2084.4154379151887,-2185.740124173217,0.009
bull,20,14,2.0,0.5,17527.098782852216,75.27098782852215,184.85308868728202,15.169387500171572,3.3580928684410645,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2296.965297059164,-2398.2899833171923,0.009
bull,20,14,2.0,1.0,27565.19305682792,175.6519305682792,562.9139117203459,26.434892259508025,3.4803969115842577,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1918.9044740261002,-2020.2291602841283,0.009
bull,20,14,3.0,0.5,21909.21910936068,119.09219109360683,331.92797743032133,19.396898861159627,3.518759065425823,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2149.8904083161246,-2251.2150945741528,0.009
bull,20,14,3.0,1.0,36080.33324179445,260.8033324179445,995.3228527773136,33.365714508108965,3.741946258216222,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1486.4955329691325,-1587.8202192271606,0.009
bull,20,21,1.5,0.5,15213.102927287107,52.131029272871075,118.73196631514654,14.372386801281436,2.7402424310445834,15,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2363.0864194312994,-2464.4111056893275,0.009
bull,20,21,1.5,1.0,21639.047546121816,116.39047546121817,322.0452859646616,24.97005106937336,2.8489481271224397,15,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2159.7730997817844,-2261.0977860398125,0.01
bull,20,21,2.0,0.5,17238.42016986986,72.38420169869859,176.16362525099825,16.566583000595912,3.24381946524433,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2305.6547604954476,-2406.9794467534757,0.009
bull,20,21,2.0,1.0,26602.964630628885,166.02964630628887,520.4001224999447,29.002856782679103,3.3435716125046815,11,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-1961.4182632465013,-2062.7429495045294,0.009
bull,20,21,3.0,0.5,21909.21910936068,119.09219109360683,331.92797743032133,19.396898861159627,3.518759065425823,5,1007.20891426729,2481.818385746446,422.54121415801285,28.7687137566269,2583.143072004474,2481.818385746446,-2149.8904083161246,-2251.2150945741528,0.01
